अम्बुकण,P,1.3.13
करका,PS,1.3.14
मेघच्छन्न,N,1.3.14
अहन्,N,1.3.14
दुर्दिन,N,1.3.14
अन्तर्धा,S,1.3.14
व्यवधा,S,1.3.14
अन्तर्धि,P,1.3.14
अपवारण,N,1.3.14
अपिधान,N,1.3.15
तिरोधान,N,1.3.15
पिधान,N,1.3.15
आच्छादन,N,1.3.15
हिमांशु,P,1.3.15
चन्द्रमस्,P,1.3.15
चन्द्र,P,1.3.15
इन्दु,P,1.3.15
कुमुदबान्धव,P,1.3.15
विधु,P,1.3.16
सुधांशु,P,1.3.16
शुभ्रांशु,P,1.3.16
ओषधीश,P,1.3.16
निशापति,P,1.3.16
अब्ज,P,1.3.16
जैवातृक,P,1.3.16
सोम,P,1.3.16
ग्लौ,P,1.3.16
मृगाङ्क,P,1.3.16
कलानिधि,P,1.3.16
द्विजराज,P,1.3.17
शशधर,P,1.3.17
नक्षत्रेश,P,1.3.17
क्षपाकर,P,1.3.17
कला,S,1.3.17
बिम्ब,PN,1.3.17
मण्डल,V,1.3.17
भित्त,N,1.3.18
शकल,PN,1.3.18
खण्ड,PN,1.3.18
अर्ध,P,1.3.18
अर्ध,N,1.3.18
चन्द्रिका,S,1.3.18
कौमुदी,S,1.3.18
ज्योत्स्ना,S,1.3.18
प्रसाद,P,1.3.18
प्रसन्नता,S,1.3.18
कलङ्क,P,1.3.19
अङ्क,P,1.3.19
लाञ्छन,N,1.3.19
चिह्न,N,1.3.19
लक्ष्मन्,N,1.3.19
लक्षण,N,1.3.19
सुषमा,S,1.3.19
शोभा,S,1.3.19
कान्ति,S,1.3.19
द्युति,S,1.3.19
छवि,S,1.3.19
अवश्याय,P,1.3.20
नीहार,P,1.3.20
तुषार,P,1.3.20
तुहिन,N,1.3.20
हिम,N,1.3.20
प्रालेय,N,1.3.20
मिहिका,S,1.3.20
हिमानी,S,1.3.20
हिमसंहति,S,1.3.20
शीत,N,1.3.21
सुषीम,V,1.3.21
शिशिर,V,1.3.21
जड,V,1.3.21
तुषार,V,1.3.21
शीतल,V,1.3.21
शीत,V,1.3.21
हिम,V,1.3.21
ध्रुव,P,1.3.22
औत्तानपादि,P,1.3.22
अगस्त्य,P,1.3.22
कुम्भसम्भव,P,1.3.22
मैत्रावरुणि,P,1.3.22
लोपामुद्रा,S,1.3.22
सधर्मिणी,S,1.3.22
नक्षत्र,N,1.3.23
ऋक्ष,N,1.3.23
भ,N,1.3.23
तारा,S,1.3.23
तारका,S,1.3.23
उडु,SN,1.3.23
दाक्षायिणी,S,1.3.23
अश्वयुज्,S,1.3.23
अश्विनी,S,1.3.23
राधा,S,1.3.24
विशाखा,S,1.3.24
पुष्य,P,1.3.24
सिध्या,P,1.3.24
तिष्या,S,1.3.24
श्रविष्ठा,S,1.3.24
धनिष्ठा,S,1.3.24
प्रोष्ठपदा,S,1.3.24
भाद्रपदा,S,1.3.24
मृगशीर्ष,N,1.3.25
मृगशिरस्,N,1.3.25
आग्रहायणी,S,1.3.25
