इल्वला,S,1.3.25
बृहस्पति,P,1.3.26
सुराचार्य,P,1.3.26
गीष्पति,P,1.3.26
धिषण,P,1.3.26
गुरु,P,1.3.26
जीव,P,1.3.26
आङ्गिरस,P,1.3.26
वाचस्पति,P,1.3.26
चित्रशिखण्डिज,P,1.3.26
शुक्र,P,1.3.27
दैत्यगुरु,P,1.3.27
काव्य,P,1.3.27
उशनस्,P,1.3.27
भार्गव,P,1.3.27
कवि,P,1.3.27
अङ्गारक,P,1.3.27
कुज,P,1.3.27
भौम,P,1.3.27
लोहिताङ्ग,P,1.3.27
महीसुत,P,1.3.27
रौहिणेय,P,1.3.28
बुध,P,1.3.28
सौम्य,P,1.3.28
सौरि,P,1.3.28
शनैश्चर,P,1.3.28
तम,P,1.3.28
राहु,P,1.3.28
स्वर्भानु,P,1.3.28
सैंहिकेय,P,1.3.28
विधुन्तुद,P,1.3.28
मरीची,S,1.3.29
अत्रि,P,1.3.29
चित्रशिखन्डिन्,P,1.3.29
लग्न,N,1.3.29
मेष,P,1.3.29
वृष,P,1.3.29
सूर,P,1.3.30
सूर्य,P,1.3.30
अर्यमन्,P,1.3.30
आदित्य,P,1.3.30
द्वादशात्मन्,P,1.3.30
दिवाकर,P,1.3.30
भास्कर,P,1.3.30
अहस्कर,P,1.3.30
ब्रध्न,P,1.3.30
प्रभाकर,P,1.3.30
विभाकर,P,1.3.30
भास्वत्,P,1.3.31
विवस्वत्,P,1.3.31
सप्ताश्व,P,1.3.31
हरिदश्व,P,1.3.31
उष्णरश्मि,P,1.3.31
विकर्तन,P,1.3.31
अर्क,P,1.3.31
मार्तण्ड,P,1.3.31
मिहिर,P,1.3.31
अरुण,P,1.3.31
पूषन्,P,1.3.31
द्युमणि,P,1.3.32
तरणि,P,1.3.32
मित्र,P,1.3.32
चित्रभानु,P,1.3.32
विरोचन,P,1.3.32
विभावसु,P,1.3.32
ग्रहपति,P,1.3.32
त्विषाम्पति,P,1.3.32
अहर्पति,P,1.3.32
भानु,P,1.3.33
हंस,P,1.3.33
सहस्रांशु,P,1.3.33
तपन,P,1.3.33
सवितृ,P,1.3.33
रवि,P,1.3.33
पद्माक्ष,P,1.3.33
तेजसांराशि,P,1.3.33
छायानाथ,P,1.3.33
तमिस्रहन्,P,1.3.33
कर्मसाक्षिन्,P,1.3.34
जगच्चक्षुस्,P,1.3.34
लोकबन्धु,P,1.3.34
त्रयीतनु,P,1.3.34
प्रद्योतन,P,1.3.34
दिनमणि,P,1.3.34
खद्योत,P,1.3.34
लोकबान्धव,P,1.3.34
इन,P,1.3.35
भग,P,1.3.35
धामनिधि,P,1.3.35
अंशुमालिन्,P,1.3.35
अब्जिनीपति,P,1.3.35
माठर,P,1.3.35
पिङ्गल,P,1.3.35
दण्ड,P,1.3.35
चण्डांशु,P,1.3.35
पारिपार्श्वक,P,1.3.35
सूरसूत,P,1.3.36
अरुण,P,1.3.36
अनूरु,P,1.3.36
काश्यपि,P,1.3.36
गरुडाग्रज,P,1.3.36
परिवेष,P,1.3.36
परिधि,P,1.3.36
उपसूर्यक,N,1.3.36
मण्डल,N,1.3.36
किरण,P,1.3.37
अस्र,N,1.3.37
मयूख,P,1.3.37
अंशु,P,1.3.37
गभस्ति,P,1.3.37
घृणि,P,1.3.37
रश्मि,P,1.3.37
भानु,P,1.3.37
कर,P,1.3.37
मरीचि,PS,1.3.37
दीधिति,S,1.3.37
प्रभा,S,1.3.38
रुच्,S,1.3.38
रुचि,S,1.3.38
त्विष्,S,1.3.38
भा,S,1.3.38
भास्,S,1.3.38
छवि,S,1.3.38
द्युति,S,1.3.38
दीप्ति,S,1.3.38
रोचिस्,N,1.3.38
शोचिस्,N,1.3.38
प्रकाश,P,1.3.38
द्योत,P,1.3.38
आतप,P,1.3.38
कोष्ण,N,1.3.39
कवोष्ण,N,1.3.39
मन्दोष्ण,N,1.3.39
कदुष्ण,N,1.3.39
तिग्म,N,1.3.39
तीक्ष्ण,N,1.3.39
खर,P,1.3.39
मृगतृष्णा,S,1.3.39
मरीचिका,S,1.3.39
काल,P,1.4.1
दिष्ट,P,1.4.1
अनेहा,P,1.4.1
समय,P,1.4.1
पक्षति,S,1.4.1
प्रतिपत्,S,1.4.1
तिथि,PS,1.4.1
घस्र,P,1.4.2
दिन,N,1.4.2
अहन्,N,1.4.2
दिवस,PN,1.4.2
वासर,PN,1.4.2
प्रत्यूष,P,1.4.2
अहर्मुख,N,1.4.2
कल्य,N,1.4.2
उषस्,N,1.4.2
प्रत्युषस्,N,1.4.2
व्युष्ट,N,1.4.3
विभात,N,1.4.3
गोसर्ग,P,1.4.3
प्रभात,N,1.4.3
दिनान्त,P,1.4.3
सायम्,A,1.4.3
सन्ध्या,S,1.4.3
पितृप्रसू,S,1.4.3
प्राह्ण,P,1.4.4
अपराह्ण,P,1.4.4
मध्याह्न,P,1.4.4
त्रिसन्ध्य,N,1.4.4
शर्वरी,S,1.4.4
निशा,S,1.4.4
निशीथिनी,S,1.4.4
रात्रि,S,1.4.4
त्रियामा,S,1.4.4
क्षणदा,S,1.4.4
क्षपा,S,1.4.4
विभावरी,S,1.4.5
तमस्विनी,S,1.4.5
रजनी,S,1.4.5
यामिनी,S,1.4.5
तमी,S,1.4.5
तमिस्रा,S,1.4.5
तामसी,S,1.4.5
ज्योत्स्नी,S,1.4.5
चन्द्रिका,S,1.4.5
पक्षिणी,S,1.4.6
गणरात्र,N,1.4.6
प्रदोष,P,1.4.6
रजनीमुख,N,1.4.6
अर्धरात्र,P,1.4.7
निशीथ,P,1.4.7
याम,P,1.4.7
प्रहर,P,1.4.7
पर्वसन्धि,P,1.4.7
प्रतिपद्,S,1.4.7
पक्षान्त,P,1.4.8
पञ्चदशी,S,1.4.8
पौर्णमासी,S,1.4.8
पूर्णिमा,S,1.4.8
कलाहीन,P,1.4.8
अनुमति,S,1.4.8
राका,S,1.4.8
निशाकर,P,1.4.8
अमावास्या,S,1.4.9
अमावस्या,S,1.4.9
दर्श,P,1.4.9
सूर्येन्दुसङ्गम,P,1.4.9
सिनीवाली,S,1.4.9
कुहू,S,1.4.9
उपराग,P,1.4.10
ग्रह,P,1.4.10
उपप्लव,P,1.4.10
उपरक्त,P,1.4.10
अग्न्युत्पात,P,1.4.10
उपाहित,P,1.4.10
पुष्पवत्,P,1.4.11
काष्टा,S,1.4.11
कला,S,1.4.11
क्षण,P,1.4.12
मुहूर्त,PN,1.4.12
अहोरात्र,PN,1.4.12
पक्ष,P,1.4.12
शुक्ल,P,1.4.13
कृष्ण,P,1.4.13
मास,P,1.4.13
ऋतु,P,1.4.13
अयन,N,1.4.13
वत्सर,P,1.4.14
विषुवत्,N,1.4.14
विषुवं,N,1.4.14
पौषी,S,1.4.15
पौष,P,1.4.15
मार्गशीर्ष,P,1.4.16
सहस्,P,1.4.16
मार्ग,P,1.4.16
आग्रहायणिक,P,1.4.16
पौष,P,1.4.16
तैष,P,1.4.16
सहस्य,P,1.4.16
तपस्,P,1.4.16
माघ,P,1.4.16
फाल्गुन,P,1.4.16
तपस्य,P,1.4.17
फाल्गुनिक,P,1.4.17
चैत्र,P,1.4.17
चैत्रिक,P,1.4.17
मधु,P,1.4.17
वैशाख,P,1.4.17
माधव,P,1.4.17
राध,P,1.4.17
ज्येष्ठ,P,1.4.17
शुक्र,P,1.4.17
शुचि,P,1.4.17
आषाढ,P,1.4.18
श्रावण,P,1.4.18
नभस्,P,1.4.18
श्रावणिक,P,1.4.18
नभस्य,P,1.4.18
प्रौष्ठपद,P,1.4.18
भाद्र,P,1.4.18
भाद्रपद,P,1.4.18
आश्विन,P,1.4.19
इष,P,1.4.19
आश्वयुज,P,1.4.19
कार्तिक,P,1.4.19
बाहुल,P,1.4.19
ऊर्ज,P,1.4.19
कार्तिकिक,P,1.4.19
हेमन्त,P,1.4.19
शिशिर,PN,1.4.19
वसन्त,P,1.4.20
पुष्पसमय,P,1.4.20
सुरभि,P,1.4.20
ग्रीष्म,P,1.4.20
ऊष्मक,P,1.4.20
निदाघ,P,1.4.20
उष्णोपगम,P,1.4.20
उष्ण,P,1.4.20
ऊष्मागम,P,1.4.20
तप,P,1.4.20
प्रावृष्,S,1.4.21
वर्षा,SB,1.4.21
शरद्,S,1.4.21
ऋतु,P,1.4.21
संवत्सर,P,1.4.22
वत्सर,P,1.4.22
अब्द,P,1.4.22
हायन,PN,1.4.22
शरद्,S,1.4.22
पैत्र,P,1.4.22
दैवत,P,1.4.22
ब्राह्म,P,1.4.23
कल्प,P,1.4.23
मन्वन्तर,N,1.4.23
संवर्त,P,1.4.24
प्रलय,P,1.4.24
कल्प,P,1.4.24
क्षय,P,1.4.24
कल्पान्त,P,1.4.24
पङ्क,PN,1.4.24
पाप्मन्,P,1.4.24
पाप,N,1.4.24
किल्बिष,N,1.4.24
कल्मष,N,1.4.24
कलुष,N,1.4.25
वृजिन,N,1.4.25
एनस्,N,1.4.25
अघ,N,1.4.25
अंहस्,N,1.4.25
दुरित,N,1.4.25
दुष्कृत,N,1.4.25
धर्म,PN,1.4.25
पुण्य,N,1.4.25
श्रेयस्,N,1.4.25
सुकृत,N,1.4.25
वृष,P,1.4.25
मुद्,S,1.4.26
प्रीति,S,1.4.26
प्रमद,P,1.4.26
हर्ष,P,1.4.26
प्रमोद,P,1.4.26
आमोद,P,1.4.26
सम्मद,P,1.4.26
आनन्दथु,P,1.4.26
आनन्द,P,1.4.26
शर्मन्,N,1.4.26
शात,N,1.4.26
सुख,N,1.4.26
श्वःश्रेयस,N,1.4.27
शिव,N,1.4.27
भद्र,N,1.4.27
कल्याण,N,1.4.27
मङ्गल,N,1.4.27
शुभ,N,1.4.27
भावुक,N,1.4.27
भविक,N,1.4.27
भव्य,N,1.4.27
कुशल,N,1.4.27
क्षेम,PN,1.4.27
शस्त,N,1.4.28
मतल्लिका,S,1.4.28
मचर्चिका,S,1.4.28
प्रकाण्ड,P,1.4.28
उद्ध,P,1.4.28
तल्लज,P,1.4.28
अय,P,1.4.29
दैव,N,1.4.29
दिष्ट,N,1.4.29
भागधेय,N,1.4.29
भाग्य,N,1.4.29
नियति,S,1.4.29
विधि,P,1.4.29
हेतु,P,1.4.30
कारण,N,1.4.30
बीज,N,1.4.30
निदान,N,1.4.30
आदिकारण,N,1.4.30
क्षेत्रज्ञ,P,1.4.30
आत्मन्,P,1.4.30
पुरुष,P,1.4.30
प्रधान,N,1.4.30
प्रकृति,S,1.4.30
विशेष,V,1.4.31
कालिकोवस्था,S,1.4.31
सत्त्व,N,1.4.31
रजस्,N,1.4.31
तमस्,N,1.4.31
जनुस्,N,1.4.31
जनन,N,1.4.31
जन्मन्,N,1.4.31
जनि,S,1.4.31
उत्पत्ति,S,1.4.31
उद्भव,P,1.4.31
प्राणिन्,P,1.4.32
चेतन,P,1.4.32
जन्मिन्,P,1.4.32
जन्तु,P,1.4.32
जन्यु,P,1.4.32
शरीरिन्,P,1.4.32
जाति,S,1.4.32
जात,N,1.4.32
सामान्य,N,1.4.32
व्यक्ति,S,1.4.32
पृथगात्मता,S,1.4.32
चित्त,N,1.4.33
चेतस्,N,1.4.33
हृदय,N,1.4.33
स्वान्त,N,1.4.33
हृद्,N,1.4.33
मानस,N,1.4.33
मनस्,N,1.4.33
बुद्धि,S,1.5.1
मनीषा,S,1.5.1
धिषणा,S,1.5.1
धी,S,1.5.1
प्रज्ञा,S,1.5.1
शेमुषी,S,1.5.1
मति,S,1.5.1
प्रेक्षा,S,1.5.1
उपलब्धि,S,1.5.1
चित्,S,1.5.1
संविद्,S,1.5.1
प्रतिपत्,S,1.5.1
ज्ञप्ति,S,1.5.1
चेतना,S,1.5.1
मेधा,S,1.5.2
सङ्कल्प,P,1.5.2
अवधान,N,1.5.2
समाधान,N,1.5.2
प्रणिधान,N,1.5.2
चित्ताभोग,P,1.5.3
मनस्कार,P,1.5.3
चर्चा,S,1.5.3
सङ्ख्या,S,1.5.3
विचारणा,S,1.5.3
विमर्श,P,1.5.3
भावना,S,1.5.3
वासना,S,1.5.3
अध्याहार,P,1.5.4
तर्क,P,1.5.4
ऊह,P,1.5.4
विचिकित्सा,S,1.5.4
संशय,P,1.5.4
सन्देह,P,1.5.4
द्वापर,P,1.5.4
निर्णय,P,1.5.4
निश्चय,P,1.5.4
मिथ्यादृष्टि,S,1.5.5
नास्तिकता,S,1.5.5
व्यापाद,P,1.5.5
द्रोहचिन्तन,N,1.5.5
सिद्धान्त,P,1.5.5
राद्धान्त,P,1.5.5
भ्रान्ति,S,1.5.5
मिथ्यामति,S,1.5.5
भ्रम,P,1.5.5
संविद्,S,1.5.6
आगू,S,1.5.6
प्रतिज्ञान,N,1.5.6
नियम,P,1.5.6
आश्रव,P,1.5.6
संश्रव,P,1.5.6
अङ्गीकार,P,1.5.6
अभ्युपगम,P,1.5.6
प्रतिश्रव,P,1.5.6
समाधि,P,1.5.6
ज्ञान,N,1.5.7
विज्ञान,N,1.5.7
मुक्ति,S,1.5.7
कैवल्य,N,1.5.7
निर्वाण,N,1.5.7
श्रेयस्,N,1.5.7
निःश्रेयस,N,1.5.7
अमृत,N,1.5.7
मोक्ष,P,1.5.8
अपवर्ग,P,1.5.8
अज्ञान,N,1.5.8
अविद्या,S,1.5.8
अहम्मति,S,1.5.8
रूप,N,1.5.8
शब्द,P,1.5.8
गन्ध,P,1.5.8
रस,P,1.5.8
स्पर्श,P,1.5.8
विषय,P,1.5.8
गोचर,P,1.5.9
इन्द्रियार्थ,P,1.5.9
हृषीक,N,1.5.9
विषयी,N,1.5.9
इन्द्रिय,N,1.5.9
कर्मेन्द्रिय,N,1.5.9
धीन्द्रिय,N,1.5.9
तुवर,P,1.5.10
कषाय,PN,1.5.10
मधुर,P,1.5.10
लवण,P,1.5.10
कटु,P,1.5.10
तिक्त,P,1.5.10
अम्ल,P,1.5.10
परिमल,P,1.5.11
आमोद,P,1.5.11
अतिनिर्हारिन्,P,1.5.11
समाकर्षिन्,P,1.5.12
निर्हारिन्,P,1.5.12
सुरभि,P,1.5.12
घ्राणतर्पण,P,1.5.12
इष्टगन्ध,P,1.5.12
सुगन्धि,P,1.5.12
आमोदिन्,P,1.5.12
पूतिगन्धि,P,1.5.13
दुर्गन्ध,P,1.5.13
विस्र,N,1.5.13
आमगन्धि,N,1.5.13
शुक्ल,P,1.5.13
शुभ्र,P,1.5.13
शुचि,P,1.5.13
श्वेत,P,1.5.13
विशद,P,1.5.13
श्येत,P,1.5.13
पाण्डर,P,1.5.13
अवदात,P,1.5.14
सित,P,1.5.14
गौर,P,1.5.14
अवलक्ष,P,1.5.14
धवल,P,1.5.14
अर्जुन,P,1.5.14
हरिण,P,1.5.14
पाण्डुर,P,1.5.14
पाण्डु,P,1.5.14
ईषत्पाण्डु,P,1.5.14
धूसर,P,1.5.14
कृष्ण,P,1.5.15
नील,P,1.5.15
असित,P,1.5.15
श्याम,P,1.5.15
काल,P,1.5.15
श्यामल,P,1.5.15
मेचक,P,1.5.15
पीत,P,1.5.15
गौर,P,1.5.15
हरिद्राभ,P,1.5.15
पालाश,P,1.5.15
हरित,P,1.5.15
हरित्,P,1.5.15
लोहित,P,1.5.16
रोहित,P,1.5.16
रक्त,P,1.5.16
शोण,P,1.5.16
कोकनदच्छवि,P,1.5.16
अव्यक्तराग,P,1.5.16
अरुण,P,1.5.16
श्वेतरक्त,P,1.5.16
पाटल,P,1.5.16
श्याव,P,1.5.17
कपिश,P,1.5.17
धूम्र,P,1.5.17
धूमल,P,1.5.17
कृष्णलोहित,P,1.5.17
कडार,P,1.5.17
कपिल,P,1.5.17
पिङ्ग,P,1.5.17
पिशङ्ग,P,1.5.17
कद्रु,P,1.5.17
पिङ्गल,P,1.5.17
चित्र,N,1.5.18
किर्मीर,P,1.5.18
कल्माष,P,1.5.18
शबल,P,1.5.18
कर्बुर,P,1.5.18
ब्राह्मी,S,1.6.1
भारती,S,1.6.1
भाषा,S,1.6.1
गिर्,S,1.6.1
वाच्,S,1.6.1
वाणी,S,1.6.1
सरस्वती,S,1.6.1
व्याहार,P,1.6.1
उक्ति,S,1.6.1
लपित,N,1.6.1
भाषित,N,1.6.1
वचन,N,1.6.1
वचस्,N,1.6.1
अपभ्रंश,P,1.6.2
अपशब्द,P,1.6.2
शब्द,P,1.6.2
वाक्य,N,1.6.2
श्रुति,S,1.6.3
वेद,P,1.6.3
आम्नाय,P,1.6.3
त्रयी,S,1.6.3
धर्म,P,1.6.3
ऋच्,S,1.6.3
सामन्,N,1.6.3
यजुस्,N,1.6.3
त्रयी,S,1.6.3
शिक्षा,S,1.6.4
ओङ्कार,P,1.6.4
प्रणव,P,1.6.4
इतिहास,P,1.6.4
पुरावृत्त,N,1.6.4
उदात्त,P,1.6.4
आन्वीक्षिकी,S,1.6.5
दण्डनीति,S,1.6.5
तर्कविद्या,S,1.6.5
आख्यायिका,S,1.6.5
प्रबन्धकल्पना,S,1.6.6
कथा,S,1.6.6
प्रवह्लिका,S,1.6.6
प्रहेलिका,S,1.6.6
स्मृति,S,1.6.6
धर्मसंहिता,S,1.6.6
समाहृति,S,1.6.6
सङ्ग्रह,P,1.6.6
समस्या,S,1.6.7
समासार्था,S,1.6.7
किंवदन्ती,S,1.6.7
जनश्रुति,S,1.6.7
वार्ता,S,1.6.7
प्रवृत्ति,S,1.6.7
वृत्तान्त,P,1.6.7
उदन्त,P,1.6.7
आह्वय,P,1.6.7
आख्या,S,1.6.8
आह्वा,S,1.6.8
अभिधान,N,1.6.8
नामधेय,N,1.6.8
नामन्,N,1.6.8
हूति,S,1.6.8
आकारणा,S,1.6.8
आह्वान,N,1.6.8
संहूति,S,1.6.8
विवाद,P,1.6.9
व्यवहार,P,1.6.9
उपन्यास,P,1.6.9
वाङ्मुख,N,1.6.9
उपोद्धात,P,1.6.9
उदाहार,P,1.6.9
शपन,N,1.6.9
शपथ,P,1.6.9
प्रश्न,P,1.6.10
अनुयोग,P,1.6.10
पृच्छा,S,1.6.10
प्रतिवाक्य,N,1.6.10
उत्तर,N,1.6.10
मिथ्याभियोग,P,1.6.10
अभ्याख्यान,N,1.6.10
मिथ्याभिशंसन,N,1.6.10
अभिशाप,P,1.6.11
प्रणाद,P,1.6.11
यशस्,N,1.6.11
कीर्ति,S,1.6.11
समज्ञा,S,1.6.11
स्तव,P,1.6.11
स्तोत्र,N,1.6.11
स्तुति,S,1.6.11
नुति,S,1.6.11
आम्रेडित,N,1.6.12
उच्चैर्घुष्ट,N,1.6.12
घोषणा,S,1.6.12
काकु,S,1.6.12
अवर्ण,P,1.6.13
आक्षेप,P,1.6.13
निर्वाद,P,1.6.13
परीवाद,P,1.6.13
अपवाद,P,1.6.13
उपक्रोश,P,1.6.13
जुगुप्सा,S,1.6.13
कुत्सा,S,1.6.13
निन्दा,S,1.6.13
गर्हण,N,1.6.13
पारुष्य,N,1.6.14
अतिवाद,P,1.6.14
भर्त्सन,N,1.6.14
अपकारगिर्,S,1.6.14
परिभाषण,N,1.6.14
आक्षारण,SN,1.6.15
आभाषण,N,1.6.15
आलाप,P,1.6.15
प्रलाप,P,1.6.15
अनुलाप,P,1.6.16
मुहुर्भाषा,S,1.6.16
